id,label,nome_original,url,timestamp,descricao,nome_versao,formato,tamanho,processado
1,Eratóstenes,0001.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Eratosthenes_profile.png,2025-07-18,"Eratóstenes de Cirene foi um matemático, geógrafo, poeta e astrônomo grego, que viveu entre 276 a.C. e 194 a.C. Ele é mais conhecido por calcular a circunferência da Terra com notável precisão.",0001_quadrado_medio.png,quadrado,medio,SIM
1,Eratóstenes,0001.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Eratosthenes_profile.png,2025-07-18,"Eratóstenes de Cirene foi um matemático, geógrafo, poeta e astrônomo grego, que viveu entre 276 a.C. e 194 a.C. Ele é mais conhecido por calcular a circunferência da Terra com notável precisão.",0001_quadrado_thumbnail.png,quadrado,thumbnail,SIM
2,Aristarco,0002.jpg,https://www.meteorologiaenred.com/wp-content/uploads/2019/05/Aristarco-de-Samos.jpg.webp,2025-07-18,"Aristarco de Samos foi um astrônomo grego do século III a.C., conhecido por propor um modelo heliocêntrico do sistema solar, onde a Terra e os planetas giram em torno do Sol, desafiando a visão geocêntrica predominante na época.",0002_quadrado_medio.png,quadrado,medio,SIM
2,Aristarco,0002.jpg,https://www.meteorologiaenred.com/wp-content/uploads/2019/05/Aristarco-de-Samos.jpg.webp,2025-07-18,"Aristarco de Samos foi um astrônomo grego do século III a.C., conhecido por propor um modelo heliocêntrico do sistema solar, onde a Terra e os planetas giram em torno do Sol, desafiando a visão geocêntrica predominante na época.",0002_quadrado_thumbnail.png,quadrado,thumbnail,SIM
3,Hiparco,0003.jpg,https://www.tychos.info/citation/131B_hipparchus-coin.jpg,2025-07-18,"Hiparco de Niceia foi um astrônomo grego do século II a.C., amplamente considerado o fundador da astronomia científica. Ele é conhecido por suas contribuições significativas à astronomia, incluindo a catalogação de estrelas e o desenvolvimento de métodos para medir a distâncias e tamanhos dos corpos celestes.",0003_quadrado_medio.png,quadrado,medio,SIM
3,Hiparco,0003.jpg,https://www.tychos.info/citation/131B_hipparchus-coin.jpg,2025-07-18,"Hiparco de Niceia foi um astrônomo grego do século II a.C., amplamente considerado o fundador da astronomia científica. Ele é conhecido por suas contribuições significativas à astronomia, incluindo a catalogação de estrelas e o desenvolvimento de métodos para medir a distâncias e tamanhos dos corpos celestes.",0003_quadrado_thumbnail.png,quadrado,thumbnail,SIM
4,Thales,0004.jpg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgfy8ysnQuBHsojvt67ZxNLQZH19V71EiNkB18GUNUV2LPJWA0xovLoo8CY8y2sN7sZeMJRxIQ1tS3_3s0rybL_yt6oenWKkBM-JKv81z318d79Ch_V7tFaHtODdAMtwh5ZNlKpr1ZUVKwx/s400/thales.gif,2025-07-18,"Thales de Mileto foi um filósofo grego do século VI a.C., amplamente considerado o primeiro filósofo ocidental. Ele é conhecido por suas contribuições à matemática, astronomia e filosofia, sendo famoso por sua afirmação de que a água é o princípio fundamental de todas as coisas.",0004_quadrado_medio.png,quadrado,medio,SIM
4,Thales,0004.jpg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgfy8ysnQuBHsojvt67ZxNLQZH19V71EiNkB18GUNUV2LPJWA0xovLoo8CY8y2sN7sZeMJRxIQ1tS3_3s0rybL_yt6oenWKkBM-JKv81z318d79Ch_V7tFaHtODdAMtwh5ZNlKpr1ZUVKwx/s400/thales.gif,2025-07-18,"Thales de Mileto foi um filósofo grego do século VI a.C., amplamente considerado o primeiro filósofo ocidental. Ele é conhecido por suas contribuições à matemática, astronomia e filosofia, sendo famoso por sua afirmação de que a água é o princípio fundamental de todas as coisas.",0004_quadrado_thumbnail.png,quadrado,thumbnail,SIM
5,Euclides,0005.jpg,https://thumbs.dreamstime.com/b/est%C3%A1tua-arquimedada-em-siracusa-it%C3%A1lia-ortigia-syracusa-sicily-de-setembro-arquimedes-do-engenheiro-matem%C3%A1tico-grego-astr%C3%B4nomo-299859000.jpg,2025-07-18,"Euclides de Alexandria foi um matemático grego do século III a.C., conhecido como o 'Pai da Geometria'. Ele é famoso por seu trabalho 'Os Elementos', uma coleção de 13 livros que sistematiza o conhecimento geométrico da época e estabelece os fundamentos da geometria euclidiana.",0005_quadrado_medio.png,quadrado,medio,SIM
5,Euclides,0005.jpg,https://thumbs.dreamstime.com/b/est%C3%A1tua-arquimedada-em-siracusa-it%C3%A1lia-ortigia-syracusa-sicily-de-setembro-arquimedes-do-engenheiro-matem%C3%A1tico-grego-astr%C3%B4nomo-299859000.jpg,2025-07-18,"Euclides de Alexandria foi um matemático grego do século III a.C., conhecido como o 'Pai da Geometria'. Ele é famoso por seu trabalho 'Os Elementos', uma coleção de 13 livros que sistematiza o conhecimento geométrico da época e estabelece os fundamentos da geometria euclidiana.",0005_quadrado_thumbnail.png,quadrado,thumbnail,SIM
6,Arquimedes,0006.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Euklid-von-Alexandria_1.jpg/250px-Euklid-von-Alexandria_1.jpg,2025-07-18,"Arquímedes de Siracusa foi um matemático, físico, engenheiro, inventor e astrônomo grego do século III a.C., amplamente reconhecido como um dos maiores matemáticos da antiguidade. Ele é famoso por suas contribuições fundamentais à matemática, física e engenharia, incluindo o princípio da alavanca e o cálculo do volume de sólidos.",0006_quadrado_medio.png,quadrado,medio,SIM
6,Arquimedes,0006.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Euklid-von-Alexandria_1.jpg/250px-Euklid-von-Alexandria_1.jpg,2025-07-18,"Arquímedes de Siracusa foi um matemático, físico, engenheiro, inventor e astrônomo grego do século III a.C., amplamente reconhecido como um dos maiores matemáticos da antiguidade. Ele é famoso por suas contribuições fundamentais à matemática, física e engenharia, incluindo o princípio da alavanca e o cálculo do volume de sólidos.",0006_quadrado_thumbnail.png,quadrado,thumbnail,SIM
7,Platão,0007.jpg,https://cdn.britannica.com/88/149188-050-DC34842F/Plato-portrait-bust-original-Capitoline-Museums-Rome.jpg?w=300,2025-07-18,"Platão foi um filósofo grego do século IV a.C., conhecido por suas obras sobre filosofia, política e epistemologia. Ele fundou a Academia de Atenas, uma das primeiras instituições de ensino superior do mundo ocidental, e é famoso por seus diálogos, que exploram questões fundamentais sobre a verdade, a justiça e a natureza da realidade.",0007_quadrado_medio.png,quadrado,medio,SIM
